Time(s),ValveApt(%),ValveAng(°),ValveArea(m2),Temperature(K),IntakeP(Pa),OutputP(Pa),Massflow(kg/s),ReynoldsD,CD,KV
33.5,9.800000000000001,26.86,1.8135362899444e-05,296.15,997046.63549,92937.89130000002,0.004289186209850851,17074.02083012397,0.1012253315232183,66.50668359888559
34,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,996532.94682,91922.10870000004,0.003456498903258582,13755.74788523557,0.08162963448598111,65.93351288092109
34.5,9.800000000000001,26.86,1.8135362899444e-05,295.95,1001156.14485,90906.32610000001,0.004223555510942493,16821.53022092913,0.09923376566710893,66.46767629249119
35,9.800000000000001,26.86,1.8135362899444e-05,295.7499999999999,993964.5034700001,91414.21740000002,0.004506215115042354,17956.66967408454,0.1066049405032451,66.62977753746237
35.5,9.800000000000001,26.86,1.8135362899444e-05,296.15,998074.0128299999,92430,0.00364050071699939,14491.789825159,0.08582783391823555,66.0765621510552
36,9.800000000000001,26.86,1.8135362899444e-05,295.85,995505.5694800001,92430,0.004650893696245404,18528.35967235378,0.10987589266786,66.70712213902041
36.5,9.800000000000001,26.86,1.8135362899444e-05,295.85,995505.5694800001,90398.43479999999,0.003809948061093116,15178.17706001496,0.09000881799743896,66.19920555722378
37,9.800000000000001,26.86,1.8135362899444e-05,296.15,991396.06012,90398.43479999999,0.004200615398893001,16721.44582002948,0.09970008086175494,66.45370822823232
37.5,9.800000000000001,26.86,1.8135362899444e-05,295.95,997046.63549,91922.10870000004,0.002854671887615047,11369.55565137999,0.06734786127260697,65.37535931673887
38,9.800000000000001,26.86,1.8135362899444e-05,295.7499999999999,994991.88081,92430,0.003809594425758598,15180.72860463919,0.09003170876674717,66.198954935855
38.5,9.800000000000001,26.86,1.8135362899444e-05,295.55,995505.5694800001,92430,0.003977417128143738,15857.75799513304,0.09391756800486732,66.31282126056932
39,9.800000000000001,26.86,1.8135362899444e-05,296.35,993450.8148000001,90398.43479999999,0.003717394234356783,14790.17563177751,0.08807823984545442,66.13319880079776
39.5,9.800000000000001,26.86,1.8135362899444e-05,296.05,996532.94682,92430,0.004288790030722958,17076.8931255518,0.1012510571538487,66.50644672995493
40,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,993964.5034700001,90906.32610000001,0.003358357403110978,13365.17645128067,0.07951684272483422,65.85256178003884
40.5,9.800000000000001,26.86,1.8135362899444e-05,295.95,997560.3241600001,91414.21740000002,0.003896957020416762,15520.75736160368,0.09189027073171517,66.259143739697
41,9.800000000000001,26.86,1.8135362899444e-05,295.85,995505.5694800001,92430,0.004211881570945275,16779.41095640015,0.09950437005096881,66.46057847490472
41.5,9.800000000000001,26.86,1.8135362899444e-05,296.15,994478.1921399999,90398.43479999999,0.003544594146639979,14110.01325964139,0.08386891625115567,66.00333633497699
42,9.800000000000001,26.86,1.8135362899444e-05,295.45,997046.63549,91414.21740000002,0.003553755139883476,14172.34140138253,0.08376988828692578,66.01048112092968
42.5,9.800000000000001,26.86,1.8135362899444e-05,295.7499999999999,995505.5694800001,89890.54350000003,0.003638174613422176,14497.64338408603,0.08593619732945368,66.07480536946751
43,9.800000000000001,26.86,1.8135362899444e-05,296.05,994991.88081,91922.10870000004,0.004131882753288388,16452.12744847813,0.09769782511893894,66.41154093245729
43.5,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,993964.5034700001,92430,0.003262367139161078,12983.16624173388,0.07724405224858863,65.7699874346112
44,9.800000000000001,26.86,1.8135362899444e-05,295.85,996019.2581499999,92430,0.004056706023381526,16161.21829378637,0.09578896895793212,66.36419222390056
44.5,9.800000000000001,26.86,1.8135362899444e-05,296.2499999999999,994478.1921399999,92430,0.004357456027769498,17341.26589263179,0.1031195096948791,66.54635490743532
45,9.800000000000001,26.86,1.8135362899444e-05,295.65,993964.5034700001,92937.89130000002,0.003065233700848751,12217.7385566142,0.07250293187550222,65.58873641754215
50,11.1,27.77,2.131730329353101e-05,295.95,989854.9941100001,90906.32610000001,0.001594318807496281,6349.835330117329,0.03223151057461771,63.34609878790538
50.5,11.1,27.77,2.131730329353101e-05,295.7499999999999,996019.2581499999,91414.21740000002,0.002501882526668897,9969.67009958981,0.05024923471107122,64.96105768497966
51,11.1,27.77,2.131730329353101e-05,295.95,994991.88081,90398.43479999999,0.0008898564569307501,3544.110464220994,0.01789688668135753,60.7272499168809
51.5,11.1,27.77,2.131730329353101e-05,296.2499999999999,991909.7487900001,88366.86960000001,0.003448115311497356,13722.38390108055,0.0695995928073847,65.92669801015728
52,11.1,27.77,2.131730329353101e-05,295.7499999999999,997046.63549,91414.21740000002,0.006977593191219995,27804.78358359536,0.1399975536497279,67.6018173413638
52.5,11.1,27.77,2.131730329353101e-05,296.2499999999999,993450.8148000001,90398.43479999999,0.009849818570342703,39199.09271234318,0.1985084220509306,68.23070610949287
53,11.1,27.77,2.131730329353101e-05,296.7499999999999,989854.9941100001,90906.32610000001,0.008899835957051825,35372.42996618016,0.1801663515170622,68.05722067031007
53.5,11.1,27.77,2.131730329353101e-05,295.85,997560.3241600001,91922.10870000004,0.01186557275376762,47270.39877900648,0.2379869935024312,68.52450883665033
54,11.1,27.77,2.131730329353101e-05,295.65,990882.37145,90906.32610000001,0.006152783951673613,24524.42882122321,0.1241956549530506,67.34296437676602
54.5,11.1,27.77,2.131730329353101e-05,295.95,990368.6827799999,92430,0.006611155902420982,26330.83867838923,0.1335849613134776,67.49267517344424
55,11.1,27.77,2.131730329353101e-05,296.2499999999999,988827.61677,91922.10870000004,0.00912390127077411,36310.17660449114,0.184738352529982,68.10057215420706
55.5,11.1,27.77,2.131730329353101e-05,295.85,994478.1921399999,91414.21740000002,0.009793595290352558,39015.99732791389,0.1970382642562811,68.22127569594129
56,11.1,27.77,2.131730329353101e-05,296.2499999999999,987800.2394300001,90906.32610000001,0.008281073646816255,32955.99521159485,0.1678473915083547,67.92820043739684
56.5,11.1,27.77,2.131730329353101e-05,295.95,993450.8148000001,92937.89130000002,0.01012343366667165,40319.49974903677,0.2039193979574267,68.27591000258498
57,11.1,27.77,2.131730329353101e-05,295.85,992937.12613,92430,0.009989137032472051,39795.00195919013,0.2012843016760019,68.25395793521773
57.5,11.1,27.77,2.131730329353101e-05,296.05,987286.55076,91414.21740000002,0.01199576921848741,47764.16365348667,0.2431841752702266,68.53984389079237
58,11.1,27.77,2.131730329353101e-05,296.15,990368.6827799999,91414.21740000002,0.008646374517451908,34418.73851896966,0.1747675949309946,68.00616935643163
58.5,11.1,27.77,2.131730329353101e-05,296.15,987286.55076,91414.21740000002,0.01025144931824699,40808.08121519998,0.2078575545189925,68.29599504799033
59,11.1,27.77,2.131730329353101e-05,296.2499999999999,990368.6827799999,92430,0.008489846068136575,33786.84193640218,0.1716326838515261,67.97342842883342
59.5,11.1,27.77,2.131730329353101e-05,295.95,990882.37145,91414.21740000002,0.00956645947357998,38101.18908706123,0.1931995911616291,68.18170622547443
60,11.1,27.77,2.131730329353101e-05,295.95,983690.73007,89890.54350000003,0.009805117966826222,39051.71549691236,0.1994671182569219,68.2226125083381
60.5,11.1,27.77,2.131730329353101e-05,295.95,989854.9941100001,90398.43479999999,0.007884475167871658,31402.20057932234,0.1593963161907685,67.83761815922693
61,11.1,27.77,2.131730329353101e-05,296.2499999999999,985745.4847500001,92937.89130000002,0.009844322770455006,39177.22120600143,0.1999484881291601,68.22933759075325
61.5,11.1,27.77,2.131730329353101e-05,295.85,987286.55076,91414.21740000002,0.007790970030532611,31037.88311454464,0.1578890445142839,67.81513402404748
62,11.1,27.77,2.131730329353101e-05,296.05,988827.61677,92430,0.01092403310132733,43496.77751417238,0.2211122733731393,68.39744332857155
62.5,11.1,27.77,2.131730329353101e-05,297.15,986259.1734199999,92430,0.008914172376118142,35392.63273250683,0.1812365291387986,68.05984328201401
63,11.1,27.77,2.131730329353101e-05,295.7499999999999,988827.61677,91922.10870000004,0.01052408119546118,41937.06798845645,0.2129089295392736,68.33844143124294
63.5,11.1,27.77,2.131730329353101e-05,295.85,990368.6827799999,92430,0.009424978219548224,37547.49038810878,0.1904088544614418,68.15643121107827
64,11.1,27.77,2.131730329353101e-05,296.05,988827.61677,92430,0.009761604053861022,38868.27472727495,0.1975836620135656,68.21548247190387
64.5,11.1,27.77,2.131730329353101e-05,295.15,988313.9280999999,91414.21740000002,0.009705642626040735,38736.38302080571,0.196254069442143,68.20592565973693
65,11.1,27.77,2.131730329353101e-05,296.35,987800.2394300001,91414.21740000002,0.01253903088587219,49888.29738323986,0.2541939487748603,68.60450650209802
65.5,11.1,27.77,2.131730329353101e-05,295.85,987286.55076,90398.43479999999,0.008442987029650495,33635.40657157346,0.1711025905290098,67.96334680878086
66,11.1,27.77,2.131730329353101e-05,295.65,983177.0414,92937.89130000002,0.00892300611038758,35566.27860564091,0.1815249393657968,68.06155154336061
66.5,11.1,27.77,2.131730329353101e-05,296.05,986259.1734199999,91414.21740000002,0.009576611418515794,38131.68015393975,0.1943440458896276,68.18323597861784
67,11.1,27.77,2.131730329353101e-05,296.05,983177.0414,90398.43479999999,0.009063833165588491,36089.92493635671,0.1845145439138265,68.08884869574563
67.5,11.1,27.77,2.131730329353101e-05,295.85,986259.1734199999,90398.43479999999,0.01066576888184765,42490.5867413411,0.216373861952589,68.35957099915939
68,11.1,27.77,2.131730329353101e-05,295.85,985231.79608,89382.65220000001,0.009364466887283847,37306.42365950289,0.1901727658184122,68.14518157017008
68.5,11.1,27.77,2.131730329353101e-05,295.65,981122.28672,90398.43479999999,0.01012966964060202,40375.92804081415,0.2065042429978803,68.2761967922623
69,11.1,27.77,2.131730329353101e-05,295.85,985231.79608,92430,0.01114945597714184,44417.51284539755,0.2264221664794298,68.42899142665667
69.5,11.1,27.77,2.131730329353101e-05,295.2499999999999,985231.79608,89890.54350000003,0.009086176543838241,36254.53487312383,0.1843340655385789,68.0932924577824
70,11.1,27.77,2.131730329353101e-05,295.85,983177.0414,92430,0.008993732920012387,35829.48336867026,0.1830256431478259,68.07534354009182
70.5,11.1,27.77,2.131730329353101e-05,295.95,990368.6827799999,91414.21740000002,0.007275700805930306,28977.58077721676,0.1470127501202508,67.68408773841584
71,11.1,27.77,2.131730329353101e-05,296.05,985231.79608,92430,0.008431016724707576,33570.20756814742,0.1712742053336627,67.96068266610379
88,12.4,28.68,2.453882088873601e-05,295.85,967252.6926299999,92430,0.01449631770061374,57750.83367278656,0.2604953697864145,68.8011912321119
88.5,12.4,28.68,2.453882088873601e-05,295.95,967766.3813,93445.78260000004,0.01483542684921204,59086.37413142826,0.2664926023071532,68.83108899640614
89,12.4,28.68,2.453882088873601e-05,295.85,968793.7586399999,90906.32610000001,0.01645398786491854,65549.85452621039,0.2952039047052541,68.95876006414188
89.5,12.4,28.68,2.453882088873601e-05,295.85,966739.0039600001,90398.43479999999,0.01602874287063713,63855.75168974377,0.2881857341176194,68.92715476206784
90,12.4,28.68,2.453882088873601e-05,296.05,971875.89066,92430,0.01785077350778518,71077.33165232454,0.3193561132989206,69.05234365486955
90.5,12.4,28.68,2.453882088873601e-05,295.85,968793.7586399999,92430,0.01579649837831704,62930.52962132635,0.2834077696077413,68.90976637307452
91,12.4,28.68,2.453882088873601e-05,296.15,970334.8246500001,91922.10870000004,0.01814713862699509,72238.55709804583,0.3252287107693196,69.07001559175414
91.5,12.4,28.68,2.453882088873601e-05,295.95,967766.3813,90906.32610000001,0.01745820687733317,69532.35344709818,0.313606277031676,69.02683062751302
92,12.4,28.68,2.453882088873601e-05,296.2499999999999,967252.6926299999,90398.43479999999,0.01593938198223124,63433.58587133813,0.2866204549665285,68.92037315791161
92.5,12.4,28.68,2.453882088873601e-05,295.85,967252.6926299999,91922.10870000004,0.01931403479836477,76943.78905227444,0.3470685963687661,69.13507053503218
93,12.4,28.68,2.453882088873601e-05,295.45,968793.7586399999,90906.32610000001,0.01688345550882659,67331.05858103345,0.3027042183028709,68.98900366096672
93.5,12.4,28.68,2.453882088873601e-05,295.95,962629.4946000001,91414.21740000002,0.01441285524939502,57403.36063286952,0.260283419321177,68.79303069005498
94,12.4,28.68,2.453882088873601e-05,295.7499999999999,965197.9379499999,92430,0.01682305113090602,67037.62788853778,0.3028985724799306,68.98412613728524
94.5,12.4,28.68,2.453882088873601e-05,296.45,964684.2492800001,92430,0.01737687865432159,69118.3644154498,0.3134070621715295,69.02083441405961
95,12.4,28.68,2.453882088873601e-05,296.05,964684.2492800001,90906.32610000001,0.01623078650297001,64626.94710380703,0.2925387360118434,68.94179524997406
95.5,12.4,28.68,2.453882088873601e-05,295.85,962115.80593,91414.21740000002,0.01510127089516513,60160.86303609717,0.2728151010800318,68.85288571646804
96,12.4,28.68,2.453882088873601e-05,295.95,965197.9379499999,92430,0.01631909664458132,64995.51779865918,0.293924218110699,68.94837098519059
96.5,12.4,28.68,2.453882088873601e-05,295.85,961088.4285899999,91922.10870000004,0.01583620364604935,63088.70857132582,0.286398003899227,68.91160816772003
97,12.4,28.68,2.453882088873601e-05,295.85,961088.4285899999,91414.21740000002,0.0158569363161105,63171.30395899753,0.2867729545789308,68.91319850492283
97.5,12.4,28.68,2.453882088873601e-05,296.05,966225.3152900001,90398.43479999999,0.01261432746713401,50227.10845339471,0.2269941643339299,68.61105996347311
98,12.4,28.68,2.453882088873601e-05,295.7499999999999,959547.36258,89890.54350000003,0.01590866392549373,63393.91612986305,0.2881218126460954,68.91692664512857
98.5,12.4,28.68,2.453882088873601e-05,296.45,963143.1832699999,92430,0.01895887141481195,75410.90718434243,0.3424867888560172,69.11480254698233
99,12.4,28.68,2.453882088873601e-05,295.85,960574.7399200001,90398.43479999999,0.01877797184764543,74808.20655853362,0.3397815389046094,69.10445213793363
99.5,12.4,28.68,2.453882088873601e-05,296.05,958519.9852400001,92430,0.01633888556917509,65057.37064688847,0.29638093372612,68.94864593141713
100,12.4,28.68,2.453882088873601e-05,295.95,958006.29657,90906.32610000001,0.01907896291540673,75987.48268704129,0.3462119410890662,69.12032316399713
100.5,12.4,28.68,2.453882088873601e-05,295.85,958519.9852400001,92937.89130000002,0.01968114210684184,78406.28135892593,0.3568875369514097,69.15194644826849
101,12.4,28.68,2.453882088873601e-05,296.2499999999999,958519.9852400001,92430,0.01369974051154793,54520.53706493058,0.2485918113151504,68.72501023635225
101.5,12.4,28.68,2.453882088873601e-05,296.15,956978.9192300001,91414.21740000002,0.01458983445821742,58077.94888353123,0.2651247867028271,68.80808070951677
102,12.4,28.68,2.453882088873601e-05,295.95,957492.6078999999,91414.21740000002,0.01921092767651329,76513.07047943573,0.3487936340010265,69.12726617742727
102.5,12.4,28.68,2.453882088873601e-05,296.05,957492.6078999999,91414.21740000002,0.01499369492282878,59701.15671788069,0.2722715372265385,68.84312617340441
103,12.4,28.68,2.453882088873601e-05,296.05,956465.2305600001,92937.89130000002,0.0162406555530994,64666.24320203122,0.2952319611895513,68.94113206067621
103.5,12.4,28.68,2.453882088873601e-05,295.85,958006.29657,89890.54350000003,0.01909945617585721,76088.94476739479,0.3465252578479733,69.12146490974376
104,12.4,28.68,2.453882088873601e-05,295.95,953896.78721,91922.10870000004,0.01715950765403178,68342.6974810017,0.3127224639863188,69.00468696168923
